校門口,大門口所連接的路段是哪兩個路段,羅斯福路四段和新生南路三段,羅斯福路三段和新生南路三段,汀州路一段和新生南路三段,羅斯福路四段和新生南路一段,包圍臺大的四條路分別是(從校門口順時鐘講)，羅斯福路四段、新生南路三段、辛亥路二段、基隆路四段,大門口的國立臺灣大學字樣題字人是誰？,朱家驊,朱自清,管中閔,郭大維,為當時的教育部長朱家驊所題。,臺大校門建於幾年？,1931,1981,1961,1991,,戒嚴時期校門前廣場為避免群眾聚集設立了花壇與圍牆，直到2003年拆除並加以重新命名，請問此廣場現名為何？,大學廣場,民主廣場,自由廣場,中正廣場,臺大校門前廣場在1979年被築起圍牆與花壇，直到2003年校方決議恢復廣場於1970年代的形式，並命名為「大學廣場」。,下列關校門口的敘述何者為非?,校門迄今並未列為古蹟,唭哩岸石材,左右對稱的碉堡外型,象徵謙遜學風的低調設計,1998年臺大校門被指定為臺北市定古蹟。,傅園的入口位於？,靠近大門口處,舟山路上,新月台附近,,從校門口進入後右轉就可以看到傅園入口，同一方向也是女一、二、三、五舍的出入口,傅斯年校長因何原因逝世？,腦溢血,車禍,癌症,自然辭世,傅斯年校長以腦溢血逝于台灣省議會議場。,傅斯年校長幾年辭世？,1950,1945,1955,1940,,傅園本來的作用為？,植物系的標本園,化工系的實驗地,森林系的實驗林,植微系的預定地,,傅斯年為臺大第幾任校長？,四,一,二,三,,何者並非傅園的特色？,前身是帝大動物園,斯年堂仿製希臘帕德嫩神廟,傅園裡面有傅斯年的骨灰罈,帕德嫩神廟被作為民主象徵，因此斯年堂可說是神話傅斯年,傅園前身是臺北帝大熱帶植物園。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
椰林小舖,椰林小舖如今的正式功用是,校園紀念販賣點,網美拍照景點,夜間試膽地點,吃飯用餐地點,椰林小舖如今功用為販賣Colaz出品的臺大衣服，其他功能尚待發掘。,椰林小舖旁的一大塊用地有何種功用？,腳踏車停車場,學生運動場,臺大林場,臺大農場,為腳踏車停車場。,椰林小舖附近可看見一口煙囪，在日治時期進行農化醱酵實驗。請問此實驗的功用為何？,生產軍需燃料,生產抗污藥劑,生產農業肥料,提高室內溫度,製糖過程中剩下的粗糖可藉由醱酵作用直接生成丙醇和丁醇，作為替代航空燃料使用。,下列何者建築以前曾為帝大農學部玻璃工廠？,性平會,小木屋鬆餅,椰林小舖,住宿組,性平會現址為帝大理農學部玻璃工廠，負責供應大學內玻璃製品的需求。,大陸社與美髮部過去曾為何什麼教室？,理農學部農化學教室,理農學部物理教室,理農學部生物學教室,理農學院植物學教室,大陸社與洗衣部現址的一排磚房為理農學部農化學教室。,椰林小舖旁的煙囪(本體)是在什麼時期設立的？,臺北帝大創校初期,二戰結束後 ,十大建設,日治初期,煙囪(本體)於1931年建立。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
醉月湖,醉月湖是學校官方命名的名稱嗎,不是,是,,,醉月湖原是校內生態池，1973年學生自主舉辦划船比賽，主辦單位為了方便宣傳，在《畢聯會訊》上第一次使用「醉月湖」的名稱，沿用至今。,,,,,,,醉月湖中，通往湖心亭的橋是在1985年遭到校方拆除。,X,O,,,醉月湖從未建造過通往湖心亭的橋。,以下關於醉月湖的敘述何者為非？,位於國發所後側,舊名牛湳池,原為調節?公圳之用,曾舉辦划船比賽,醉月湖周遭建築有新體、舊體、天數、思亮館、新生教學館。,於近兩年興建完成的?公圳復原工程位置在,博雅教學館附近,舟山路臺大生態池附近,醉月湖靠新體處,新生南路?公圳紀念碑附近,臺大從2015年重啟2001年因水源不足而停擺的?公圳復育計畫，將引用新店溪水源從農學院實驗同場，經舟山路、小椰林東緣、思亮館，最後抵達醉月湖。,,,,,,,?公圳大安支線在過去曾切過許多臺大現址，何者為非？,社科院,醉月湖,臺大農場,土木系館,?公圳大安支線從公館圓環分流，切過農場、生態池、森林系館、土木系館、醉月湖。,,,,,,,?公圳原址碑位於哪條路上？,新生南路,辛亥路,羅斯福路四段,復興南路二段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺大農場,臺大農場著名的商品，經常被校外人士排隊搶購的是,牛奶,牛肉,高麗菜,麵包,臺大農場自有產品包括：臺大鮮奶、優酪乳、豆奶、冰淇淋三明治、冰棒、紅蘿蔔土司、清蛋糕、麵包、肉製品、園藝產品、農藝產品…臺大所有福利社都有一定配額可以買，可是牛奶這一項非常受歡迎，經常被校外人士搶購一空，要買得早起。,臺大鮮奶相當著名，請問臺大最早開始生產鮮奶是西元幾年呢？,1928,1938,1948,1958,1928年時就已開始生產鮮奶，但因產量少，故皆直接送至臺大醫院，供病患服用。,請問目前臺大農場有飼養哪些動物？,以上皆是,乳羊,乳牛,小耳種李宋系迷你豬,臺大農場目前飼養 有乳牛、乳羊及小耳種李宋系迷你豬。牛乳平均每日產量約500-600公斤、羊乳平均每日約產40-60公斤。,生農學院開設了數堂課程供同學修習並於臺大農場中體驗，請問為下列何者課程之一？,兩者皆是,現代農業體驗,田園生活體驗,兩者皆非,生物資源暨農學院開設「現代農業體驗」及「田園生活體驗」，提供全校學生選修。,生態池為哪一條圳復育計畫中的一處水域？,?公圳,八堡圳,曹公圳,貓霧?圳,,生態池之本名為？,?公圳水源地,臺大農場蓄水池,舟山親水池,臺大賞鳥池,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社科院,社科院建築的設計師是,伊東豐雄,包浩斯,扎哈‧哈蒂德,皮埃爾‧德麥隆,社科院新館於2014年正式啟用，由日本設計師伊東豐雄設計，西側名為介宙館，東側名為頤賢館，圖書館則名為辜振甫先生紀念圖書館，三樓獨立設有梁國樹會議廳。,社科院大樓位於哪一條路旁？,楓香道,水杉道,小椰林道,舟山路,社科院大樓位於楓香道旁。,社科院圖書館中的柱子數目一共是幾根？,88,77,66,55,,社會科學院目前有4個系：政治學系、經濟學系、社會學系及社會工作學系，另有三個獨立研究所，下列何者並非包含其中？,經濟研究所,國家發展研究所,新聞研究所,公共事務研究所,經濟系研究所屬於台大經濟系，非獨立研究所。,社科院圖書館前面有塊石碑請問刻了什麼字？,學而第一,敦品勵學,力學不倦,自強不息,館名由董陽孜女士題字鑴刻辜先生生前著作「學而第一」為卹勉 ，藉以期勉社會科學者有宏大胸懷及視野，並有謙沖致和的修身素養。 ,請問社圖的閉館音樂為下列哪首曲子,莫札特G大調弦樂小夜曲（K.525）的第二樂章,蕭邦（Frederic Franc?is Chopin，1810-1849）的夜曲（Nocturnes），作品九之二與三,費玉清唱的《晚安曲》,W. A. Mozart - KV 600 - 6 German Dances for orchestra,社圖的閉館音樂是莫札特G大調弦樂小夜曲（K.525）的第二樂章。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
總圖,臺大校徽不包含什麼,總圖,椰子樹,傅鐘,梅花,1982年經校內外徵選的結果，由梅花為外型，內含抽芽的椰子樹以及傅鐘，外圍以校訓環繞。,總圖於民國幾年落成？,民國87年,民國70年,民國50年,民國92年,總圖於民國87年落成。,,,,,,,總圖B1自習室幾點閉館？,24小時開放,晚上12點,晚上10點,凌晨2點,總圖B1自習室24小時開放，歡迎同學多加利用。,總圖前的草皮叫什麼名字？,振興草皮,大學廣場,精神廣場,沒有名字,,下列何者是保健中心的可現場掛號時間？,10:00,8:00,12:00,18:00,保健中心的可現場掛號時間是8:20~11:30，13:20~16:30。,下列哪些科別保健中心沒有？,骨科,家醫科,婦產科,牙科,臺大保健中心有家醫科、眼科、牙科、婦科、皮膚科、身心科。,具僑保身份可以以僑保身份掛號嗎？,O,X,,,一般來說具僑保身份者皆可參加全民健保，該僑生若已加入全民健保，可持全民健康保險卡來中心就醫；若是尚無全民健康保險卡者，則以自費身份掛號就醫，就診後持收據及醫師開立之診斷書，親洽學務處僑陸組依程序辦 理後續保險理賠事宜。,請問保健中心中午有沒有人值班？,有,沒有,,,上班時間（含中午午休時間）本中心均有專人值班，以因應校園內之緊急傷病事件。,保健中心若額滿了還可掛號嗎？,由看診醫生評估,可以,不行,嚴重的緊急傷病可以,掛號時間截止前，若掛號人數已額滿時，須經看診醫師同意才可受理掛號。,我去保健中心只要拿藥，需要掛號嗎？,要,不要,,,要，無論是要打疫苗、拿藥皆需要醫師的處方箋才能領藥。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法學院,霖澤館是哪一系所的系館,法律系,經濟系,國家發展所,政治系,法學院系館包括霖澤館、萬才館，皆位於辛亥路上。,霖澤館與哪一棟系館同為法律系館？,萬才館,德田館,知武館,納環館,德田館為資工系館，知武館為生機系館，納環館為工科及海洋工程學系館。,位於臺大後門的國青宿舍、霖澤館、以及萬才館所間的一大片茂密樹林俗稱為何？,黑森林,法律林,榕樹林,實驗林,,下列有關於霖澤館的介紹何者為非？,西元1999年，法律系獨立，成立法學院,西元1999年法律學院成立,法律系過去屬於臺北帝大的文政學部,舊法學院成員改名為社會科學院,民國88年，法律系及法律研究所從法學院中獨立，成立法律學院。,霖澤館位於什麼路上？,辛亥路三段,新生南路,羅斯福路四段,復興南路二段,,請問霖澤館和萬才館中間的國青大樓用途為何？,宿舍,國際會議廳,科法所,以上皆非,國青大樓為研究生和交換生宿舍。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工綜,工學院綜合大樓是工學院重要的實驗室、系所辦公室、教室所在地點，那它的位置在,水杉道與楓香道交叉口,舟山路盡頭,蒲葵道上,椰林大道盡頭,舟山路盡頭的明達館屬於電機學院，蒲葵道上有普通教學館、原子與分子科學研究所，椰林大道盡頭為總圖。,臺北帝國大學時期最後一棟興建的建築是哪棟？,機械工程館,總圖,文學院,土木工程館,機械工程館於1943年完工，總圖於1998年完工，文學院於1930年完工，土木工程館於1956年。,下列何者並非50年代工學院轄下的大學部科系,材料科學與工程學系,土木工程學系,電機工程學系,機械工程學系,材料科學與工程學於2001年創立。,下列關於工學院的敘述何者錯誤？,電機系屬於工學院,1941年臺北帝大成立工學部,目前有五個系所與六個研究所,2018英國QS世界大學排名臺大工學院全球第19,,臺北帝國大學工學部是在何時成立？,醫學部之後,文政學部之前,文政、理農學部之間,理農、醫學之間,臺北帝國大學成立於1928年，一開始只有文政和理農2個學部，1936增設醫學部，直到1943年才成立工學部。,請問何者為工學院之研究所？,以上皆是,環境工程學研究所,建築與城鄉研究所,應用力學研究所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二活,第二活動中心的主要功用是？,校內社團活動,通識課程教室,行政辦公室,自習中心,第二活動中心與管理學院第二館屬同棟建築，第二活動中心內設有社團辦公室、演講廳、排練室、社團活動教室，旨為提供校內社團活動使用，是校內學生社團少數可免費使用的教室。,二活主要是哪個學院的所在處？,管理學院,社會科學院,文學院,工學院,,第二學生活動中心可出借場地不含下列何者？,103展示室,303學生交誼室,403團練室,1012排練室,103展示室位於活大。,有關管理學院的敘述何者錯誤？,原為文學院商學組,1987管理學院正式成立,大學部中，資訊管理系最後成立,1972年商學研究所成立,原為法學院商學組。,關於雅頌坊的敘述何者錯誤？,臺大學生均能免費觀賞演出,曾是美軍在臺營區內的教堂,由臺大藝文中心管理,靠近基隆路段,雅頌坊有各式演出，有些免費入場有些則有售票，有興趣的同學可以多多關注。,請問學期間二活閉館時間為何？,pm 10:00,pm 11:00,pm 12:00,pm 9:00,開學時二活開閉館時間為週一至週日上午八時至下午十時。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃花心木道,外教中心不提供什麼服務？,日語課程,外語教學資源提供,進階英文免修申請,劇場場地借用,外教中心提供亞洲語文課程，但日語除外。資料來源：外教中心關官網→任務,外語教學中心3樓302室擁有豐富語言類書籍館藏，又稱為E自學空間。請問其開放時間為下列何者？,星期一至五8:30-16:45,星期一至日8:30-16:45,星期一至日8:00-18:45,星期一至五8:00-18:45,,為提倡外語自學風氣，外教中心提供外語自學認證，於六個月內同一語言、級數修滿幾個小時後即可申請認證？,36,48,72,96,,臺大外語課程目前沒有下列何種語言？,匈牙利語,土耳其語,俄語,阿拉伯語,,進階英文的相關業務由外教中心負責,是,否,,,,請問國際事務處在外教中心嗎？,否,是,,,國際事務處位於第二行政大樓四樓,計算機中心不提供什麼服務？,微積分教學,一學期100點額度的影印,授權軟體下載,網路與軟體相關課程教學,臺大計算機及資源網路中心提供授權軟體下載、NTUmail服務、開設網路與軟體相關課程、影印掃描相關服務，每學生一學期可有100點影印額度，可跨學期累加，學生也可額外購買影印卡。,計中快速列印區的電腦使用時間是多久？,五分鐘,十分鐘,十五分鐘,二十分鐘,計中列印的電腦使用時間是五分鐘，五分鐘到後會自動登出。,計中提供臺大學生每學期每位學生的影印配額為？,100,200,150單位,300單位,計中提供之臺大學生免費列印配額為每學期100單位，每學期列印配額會累加保留，直到畢業為止。,在計中雙面黑白列印上課要用的資料，一共列印了10面，需要花費多少配額呢？,7.5單位,10單位,15單位,10.5單位,黑白列印（印表機 4600 9050）單面列印，每頁為1單位，雙面列印，每頁為1.5單位。1.5*5=7.5。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
體育館,新體的正式名稱其實是「綜合體育館」，但因其外型原因，又被戲稱為？,臺大小巨蛋,臺大音樂廳,臺大尊賢館,,臺大沒有音樂廳，但新體可以外租給校外單位提供音樂會相關活動使用；臺大尊賢館位於二活旁邊，由捷絲旅提供住宿服務。,新體位於哪條路旁？,新生南路三段,羅斯福路四段,汀州路三段,基隆路三段,,新體目前並沒有下列哪項運動的場地？,射箭,籃球,技擊,羽球,,臺大新生若想辦理新體重訓室一個月會員，需支付多少費用呢？,200元,1000元,500元,0元,辦理新體健身房一個月會員，學生為200元,進入新體健身房為運動者安全及公共清潔問題，設有若干規定，下列何者不是必備事項？,攜帶沐浴用品,穿著乾淨鞋底之室內專用運動鞋,攜帶毛巾,穿著運動衣褲,進入新體健身房運動前請自行檢查：(1)運動衣褲；(2)乾淨鞋底之室內專用運動鞋；(3)毛巾，是否都符合規定，否則不予入場。,臺大舊體比起新體佔有優勢之處為何？,使用舊體場地不需場地費,舊體有游泳池，新體沒有,舊體位置鄰近主要幹道,舊體面積較新體為大,舊體所有的硬體設備新體全都有，且新體設備較新。新體位於新生南路三段旁，交通方便，而非如舊體位於校園內。但相對之下舊體所有場地和器材的使用費用都比新體便宜。,舊體位於臺大官方版地圖上的英文名稱為何？,Gymnasium,Sport Field,Arena,Sport center,依據臺大地圖可知，舊體英文名稱為Gymnasium。,臺大目前有37個運動代表隊，不包含下列何項運動,壁球,高爾夫,手球,羽球,本校現有田徑、游泳、籃球、排球、足球、棒球、橄欖球、羽球、壘球、桌球、網球、軟網、手球、柔道、跆拳道、劍道、射箭、擊劍、國術、高爾夫等二十項，男、女生共三十七個運動代表隊。,臺大學生持學生證，另外須付費多少錢方可進入舊體重訓室呢？,0,50,100,150,,舊體一樓綜合球場，不可作為下列何者之場地？,保齡球,排球,羽球,籃球,,舊體周圍沒有什麼場地？,擊劍場,排球場,籃球場,草地手球場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118巷,118項最靠近哪一學院的主要建築？,社會科學院,管理學院,工學院,電機學院,118巷指位於辛亥路二段北方的巷弄，鄰近後門、社科院、霖澤館、語言中心，有多樣餐廳可供選擇。,118巷最靠近哪一捷運站？,科技大樓站,公館站,台電大樓站,臺大醫院站,118巷最靠近科技大樓站。,臺大學生俗稱的118巷，其實是下列哪條路的118巷？,和平東路2段,大安路2段,辛亥路2段,復興南路2段,,118巷除了接近臺大以外最接近哪所大學？,國立臺北教育大學,國立臺灣師範大學,國立臺灣科技大學,國立臺北科技大學,,118巷裡沒有什麼店家？,以上皆非,師大第一腿,紫牛,笑嘻嘻,,下列哪一個圖書館離118巷最遠？,臺灣大學總圖書館,法律學院圖書館(萬才館),臺大社會科學院圖書分館,臺北市立圖書館道藩分館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溫州街,溫州街是指位於哪條道路附近的商圈？,新生南路三段,基隆路四段,辛亥路二段,羅斯福四段,溫州街位於新生南路三段西方，曾是臺大教授宿舍所在地，如今發展成各種商店的聚集地，包括餐廳、書店、影印行......生活機能完善。,臺大校內沒有下列何者連鎖速食餐廳？,肯德基,麥當勞,四海遊龍,八方雲集,肯德基位於新生南路上，麥當勞及四海遊龍位於活大，八方雲集位於小福。,漫步溫州街將看不到以下何地景？,紀州庵,殷海光故居,紫藤廬,加羅林魚木,紀州庵為臺北市古蹟，位於臺北市中正區內。,從臺大穿過溫州街不會接近何處？,捷運科技大樓站,師大夜市,國立臺灣師範大學,捷運台電大樓站,,臺大學生常提到的約定地點新月台位在哪條路旁？,新生南路,羅斯福路,復興南路,辛亥路,,新月台的名字由來為者為非？,萬新鐵路的新站,中文系老師蔡璧名命名,新字代表新生、新入口、新地標,月字呼應醉月湖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公館商圈,公館商圈不提供什麼功能？,辦戶口,通勤,覓食,血拚,公館商圈附近有公車站、捷運站、各類商店、公館夜市、水源劇場。距離臺大最近的戶政事務所則位在大安森林公園旁，靠近師大夜市商圈。,下列何者位於公館商圈？,水源市場,118巷,臺灣科技大學,以上皆非,,腳踏車在公館被拖吊要去哪裡領,龍門國中,水源拖吊場,龍安國小,臺北區監理所,警告大家校外停車要小心。,下列哪條路離公館商圈最遠？,復興南路,汀洲路,羅斯福路,新生南路,,公館商圈裡面有大量的什麼店鋪？,運動用品店,五金行,修車廠,雜貨店,,哪一條是公館商圈可搭乘的公車？,以上皆是,羅斯福路幹線,松江南京幹線,復興幹線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水源校區,文學院中的下列哪個系所的系館位於水源校區？,哲學系,日文系,圖書資訊學系,中文系,除了哲學系，人類學系也位於水源校區。,水源校區沒有下列哪個場域？,醫學院,人類系館,腳踏車拖吊場,太子學舍,,關於臺大水源校區，下列何者正確？,有自行車拖吊移置場,有計算機及資訊網路中心,有外語教學暨資源中心,有附設農業實驗場,,下列哪個地點沒有出版中心書店？,社科院,總圖,水源校區,校史館,,水源校區原本為哪個單位所有？,國防部,行政院,大考中心,陸委會,戰後國民政府誤把臺大在士林的校地撥給國防部，之後情報局使用已久難以歸還，於是雙方協議以水源地交換。,水源校區在日治時代是哪個單位使用？,日軍砲兵聯隊營區,檔案館,臺北高等農林學校,以上皆非,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城中校區,從校總區往城中校區的校內公車搭乘一次的費用為多少錢？,0,1,5,12,臺大校車一天18個班次，無須收費，停靠地點包括傅鐘、社科院舊址、醫學院。,醫學院位於哪一校區？,城中校區,校總區,水源校區,以上皆非,,下列有關醫學院圖書館的敘述何者錯誤,不開放校外讀者使用,總藏書量達到25萬冊,不定期舉辦醫學知識講座,以健康科學相關資料為主要蒐集範圍,醫圖主要服務對象為本校醫學院、公衛學院之教職員工生及臺大醫院之醫護人員，同時亦開放給校外讀者使用。,臺大博物館群之一的醫學人文博物館為鵝黃色後期文藝復興風格建築，相當值得參觀，請問下列何者並非目前其中展出的展覽？,醫學人文定義,早期西方醫學引進者,臺大醫學院的蛇毒研究,演化與人,,臺大校車一天幾個班次？,18,19,20,17,,下列何者並非臺大醫學院前身,國防醫學院,臺北病院醫學講習所,臺北帝國大學附屬醫學專門部,臺北醫學專門學校,臺大醫學院設立於1897年，前身為臺北病院醫學講習所，1899年成立「臺灣總督府醫學校」，收納原醫學講習所學生，1927年改稱「臺北醫學專門學校」，1928年臺北帝國大學創校，創立之初並未設醫學部，1936年採一校兩制，成立臺北帝國大學醫學部，並將原臺北醫學專門學校改制為臺北帝國大學附屬醫學專門部。1945年臺灣光復，政府接收臺北帝國大學並更名為國立臺灣大學，醫學部改稱醫學院，醫學專門部停止招生。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舟山路,請問舟山路現在是否為臺大校地？,是,不是,,,舟山路原屬於臺北市政府，從1999年從臺北市道路轉變為臺大校園內部，並進行道路重整。,舟山路可與下列哪一條路互通？,羅斯福路四段,新生南路三段,辛亥路二段,芳蘭路,舟山路可與羅斯福路四段互通。,下列關於舟山路的敘述何者錯誤,舟山路側原本的校園圍牆皆已拆除,小木屋鬆餅的前身其實是警衛崗亭,曾為基隆路三段,1999年通過臺北市政府廢巷作業,舟山路目前殘存的圍牆遺跡位在圖書館旁綠地擋土牆，這局部矮牆是刻意保留的。,下列何者不是現在展書樓的單位？,環境工程所,校警隊,醫學工程所,高分子所,,在舟山路上是否看的到水車？,是,否,,,,請問鹿鳴廣場位於？,共同教室對面,博雅教學館對面,總圖後面,社科院對面,鹿鳴廣場位於舟山路上，旁有鹿鳴堂、大學入學考試中心、生命科學館、共同教學館、地理館。,「鹿鳴」廣場的命名由來為何？,詩經，小雅,詩經，大雅,詩經，周頌,詩經，魯頌,「鹿鳴」廣場的命名出自詩經小雅「呦呦鹿鳴」,鹿鳴堂的前身是？,僑光堂,國立編譯館,大考中心,檔案館,,,,,,,,,,,,,,請問鹿鳴堂什麼時候被拆除？,2018/07,沒有這回事,2018/2,2017/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
學生宿舍,哪棟宿舍內部可以與小吃部互通？,男一舍,大一女,男三舍,女九舍,宿舍內設有小吃部的宿舍包括男一舍、研一男舍，大一女樓下設有餐廳，女八舍、女九舍也鄰近餐廳但不互通。,請問以下哪一宿舍附近不設有餐廳？,男八舍,女一舍,女九舍,男一舍,男八舍不設有學生餐廳，女一舍靠近大一女餐廳，女九社靠近女九餐廳，男一舍內設有小吃部。,請問下列哪個宿舍不在校總區？,女四,男一,男八,女一,女四位於城中校區。,請問下列哪些宿舍有保險套販賣機？,以上皆有,女一,男二,男四,目前在宿舍區女一、男二、男四以及普通教學館、健康中心有保險套販賣機。,哪間宿舍沒有鋼琴？,大一女,女二,女四,男五,,校總區的男舍最近的飲食選擇是下列何者？,台科大學生餐廳,公館商圈,小福,溫州街,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N號館,在臺北帝國大學時期，臺大校園內興建一系列建築風格相似、以教室為用途的建築，共有五棟，分別以數字命名。其中請問目前使用一號館的系所為下列何者？,植物病理與微生物學系和戲劇系,森林環境暨資源學系,園藝暨景觀學系和農藝學系,昆蟲學系,一號館為植微系與戲劇系共同使用，植微系用二樓東側和三樓，戲劇系用一樓和二樓西側。森林系館在椰林大道上保健中心旁邊，園藝系館是四號館，農藝系館在總圖和活大中間，昆蟲系館則在台科大旁邊，羅斯福路四段113巷，昆蟲學系還有另一棟中非大樓在舟山路上。,臺大博物館群的哪一個館位於一號館旁？,植物標本館,地質標本館,動物博物館,人類學博物館,,二號館於2005年成立物理文物廳，1934年時，此處為全亞洲第一次完成某實驗的地點，請問某實驗為何？,原子核撞擊試驗,鐘擺試驗,輻射檢測試驗,光干涉試驗,1932年，凱文迪西實驗室首次完成人工加速帶電粒子撞擊原子核的實驗，開啟基本粒子探索新紀元。1934年，荒勝文策教授成功於臺北帝大完成亞洲首次追加試驗，再次證實相關理論。,有別於椰林大道建築群，一號館建築有何特色？,出路口分立在建築左右兩側,平屋頂,屋頂中央設有山牆,採用方形窗,有別於其他館舍將主要入口設在建築中央，一號館設於左右兩側，以因應東側動物學講座與西側植物學講座使用。,N號館現在多改建成其他用途，請問下列何者為非？,六號館改為普通大樓,四號館現為園藝系使用,五號館現為園藝系使用,七號館改建成共同教室,六號館現為農業綜合大樓。,起初，二號館為臺北帝大的什麼教室？,理化學教室,生物學教室,法商教室,電資教室,起初，二號館為臺北帝大的理化學教室，提供物理學講座、土壤學講座、化學講座與地質學講座使用。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
實驗林場,臺大的實驗林場在哪一個行政區？,南投,彰化,花蓮,台東,臺大實驗林在南投，管轄區域跨鹿谷、水里、信義三鄉。,關於山地實驗農場的敘述何者為非？,海拔高度1800公尺,位於南投,又稱梅峰農場,農場失火始發現臺大擁有這塊校地,原本隸屬於臺北帝國大學農學院霧社山地農場，海拔高度為900~2700公尺。,實驗林境內沒有哪個行政單位？,魚池鄉,鹿谷鄉,信義鄉,水里鄉,臺大實驗林位於南投縣，橫跨鹿谷、信義、水里鄉三鄉。,實驗林南境為何？,玉山,合歡山,雪山,阿里山,,下列何者為實驗林之設立宗旨？,以上皆是,教學實習,學術研究,資源保育,設立實驗林的四大宗旨為：教學實習、學術研究、資源保育、示範經營。,實驗林繼日據時代創設以來的九十餘年中，先後建立長期試驗地多少處？,大約150,大約100,大約50,大約200,本實驗林繼日據時代創設以來的九十餘年中，先後建立長期試驗地計150 餘處。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
